"","n","Depressed_mood","Lack_of_interest","Worthlessness_or_guilt","Thoughts_of_death","Neutral","Other","tweet"
"1",1,26,20,16,33,1,4,"Life is a waste of time."
"2",2,6,4,4,3,67,16,"Already fading but I love Ed Sheeran so fucking much and his songs are so perfect T.T -mc http://00"
"3",3,16,2,3,56,2,21,"she was tired physically and mentally. she wanted to close her eyes and never open them again."
"4",4,59,3,7,3,14,14,"those teenagers who sit in their rooms at night cry themselves to sleep were once children with light in their eyes and hope in their heart."
"5",5,35,4,4,2,33,22,"if you're reading this tweet through tear filled eyes and a broken heart. i just want you to know i care. and remember you're never alone. <3"
"6",6,35,4,21,13,14,13,"If I could change one thing about my life, it would be my life."
"7",7,56,4,20,3,4,13,"do you get the feeling people are slowly forgetting about you and replacing you and you soon realize it's not a feeling. it's become reality"
"8",8,25,1,1,49,6,18,"she was tired physically and mentally. she wanted to close her eyes and never open them again."
"9",9,26,4,16,2,18,34,"i try my best to talk to you, but it seems like every time i try to, i'm always shut down."
"10",10,21,1,11,5,8,54,"Did this as soon as I got to schl . I feel like I'm also going to start starving myself again bc I just can't :( -mc http://00"
"11",11,31,0,31,2,18,18,"I'm not strong -mc"
"12",12,13,25,7,1,16,38,"RT @00: Remember when you could avoid talking to people for days at a time because because you \""weren't home\"" when they called?"
"13",13,18,4,42,2,3,31,"I'm so fat. I hate me -mc"
"14",14,70,2,8,1,3,16,"do you ever feel a loneliness so deeply that your chest aches and you can be sitting in a room full of people but still feel that awful ache"
"15",15,19,1,7,0,40,33,"RT @00: @00 I know what you're going through. I have my past and scars. And I know you can get through this. <3 <3"
"16",16,17,1,67,2,5,8,"you look at me with disappointment and disgust in your eyes. but i warned you from the very start, i wasn't good enough."
"17",17,19,6,4,0,43,28,"instead of telling you how i feel, i sit on twitter and post tweets about it."
"18",18,38,2,11,0,14,35,"i really don't expect you to understand. but it hurts when you criticize me for something you know nothing about."
"19",19,10,2,7,26,29,26,"So I think they are infecting..the razor I used already had quite a bit of rust. I was just so desperate -mc http://00"
"20",20,58,4,9,1,5,23,"does anyone else ever have that one person who can make you the saddest you've ever been in a really long time just by not responding to you"
"21",21,47,5,7,4,3,34,"i’m so tired; i just want the world to be quiet for a bit."
"22",22,9,28,10,3,37,13,"HOROSCOPE: Honestly, what's the point?"
"23",23,29,9,6,43,1,12,"i am tired of living. tired of eating, sleeping, waking, breathing, too tired to sleep. i'm so tired of everything. i'm exhausted of living."
"24",24,17,2,5,1,29,46,"RT @00: Your silence says it all."
"25",25,12,5,2,2,51,28,"my personality is who i am. my attitude depends on who you are."
"26",26,12,2,1,2,59,24,"don't ever be ashamed of what you feel. you have the right to feel any emotion that you want, and to do what it is that makes you happy."
"27",27,11,1,1,2,62,23,"no matter what your physical appearance looks like, when you have kindness in your heart, you're the most beautiful person in the world.<3"
"28",28,8,3,5,3,32,49,"if you don't like my tweets then don't follow me or read them. &amp; just keep your comments to yourself @00 http://00"
"29",29,6,2,5,3,40,44,"@00  if you agree with @00 dont follow me it's really that simple"
"30",30,23,3,5,2,14,53,"it really upsets me when i tweet something nice to all of you to lift our spirits. then i get people saying shit about it."
"31",31,30,2,7,1,33,27,"maybe i'm just over sensitive.."
"32",32,9,5,5,2,17,62,"@00 you open a new account to dribble more shit. Just leave me alone"
"33",33,44,5,3,1,21,26,"RT @00: You have wounds that have never healed and you have lived with them for so long that you don't even realize that they'r…"
"34",34,9,5,3,2,52,29,"Thank you to all of you that were worried yesterday <3 they're healing well -mc http://00"
"35",35,30,18,5,0,18,29,"Life's tough when you're a very lazy perfectionist who also doesn't care about anything but at the same time cares too much about everything"
"36",36,32,29,2,4,18,15,"i need a break from everything..."
"37",37,22,4,5,0,16,53,"i grew up with anxiety i've no idea what my personality is like with out it. i wish people would stop assuming im rude or shy bcause im not."
"38",38,16,2,5,2,27,48,"don't push me away then ask why i left.."
"39",39,48,3,6,1,7,35,"I always overthink myself into bad moods."
"40",40,47,1,11,5,2,34,"social anxiety really sucks because you're scared to talk to people but you're also dying to talk to people and it makes you feel like shit."
"41",41,21,3,16,3,20,37,"The only way to never disappoint anyone is to never give them a reason to believe in you."
"42",42,11,7,2,68,5,7,"I just want it all to end. -tg"
"43",43,38,17,11,17,4,13,"I give up. I'm done. -tg"
"44",44,16,2,4,4,5,69,"Congrats, Mother. Both of your kids hate you &amp; never want to see you again. How does that make you feel?  -tg"
"45",45,15,4,4,3,12,62,"I'm actually been looking up how to get emancipated because I honestly can not continue living with my parents.  -tg"
"46",46,20,19,8,0,21,32,"i distance myself from people for a reason."
"47",47,12,1,11,3,40,33,"if you want me in your life, prove it."
"48",48,21,4,14,0,19,42,"i need to stop imagining situations in my head that are never going to happen."
"49",49,76,2,4,0,8,10,"outside i'm acting normal and inside i'm breaking down."
"50",50,22,3,12,4,19,40,"the worst thing ever is not knowing where you stand with someone."
"51",51,66,9,9,2,5,9,"i hate that feeling when you're not necessarily sad, but you just feel really empty."
"52",52,28,10,6,1,9,46,"i'm not even going to get mad at people anymore i'm just going to learn to expect the lowest out of the people i once thought the highest of"
